date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres
13/05/2020,5.8,1.9,8.9,,,318,16.6,33.3,1011
14/05/2020,5.9,0.9,9.4,,,258,17.5,48.2,1012.9
15/05/2020,8.7,6.9,10.4,,,245,21.8,51.8,1009.8
16/05/2020,8.3,7.1,9.6,,,258,28.2,59.3,1008.5
17/05/2020,8.2,6.8,9.5,,,255,28,61.1,1009.6
18/05/2020,8.5,5.9,10.8,,,249,14.3,27.8,1013.9
19/05/2020,9.3,6.7,11.9,,,264,12.4,29.6,1014.4
20/05/2020,9.3,3.3,13.9,,,244,6.5,18.5,1022.3
21/05/2020,10.3,3.5,15.1,,,175,8,20.4,1024.6
22/05/2020,11.5,7.8,15.1,,,152,14.6,46.3,1020.3
23/05/2020,11,8.5,13.1,,,191,17.2,42.6,1013.3
24/05/2020,9.7,9.1,10.7,,,208,18.7,37,1012.7
25/05/2020,12.1,8.1,15.9,,,352,11.3,27.8,1025.1
26/05/2020,12.1,7.1,15.6,,,229,9.5,22.2,1033.6
27/05/2020,11.7,9.2,13.9,,,246,14,29.6,1029.9
28/05/2020,11.7,6.7,15.6,,,321,11,24.1,1030.6
29/05/2020,12.4,6,17.2,,,345,9.1,25.9,1030.2
30/05/2020,14.4,8.7,19.1,,,23,16.1,42.6,1029.2
31/05/2020,14.9,9,20.5,,,27,17.7,35.2,1030
01/06/2020,17,9.8,23,,,359,10.7,24.1,1027.7
02/06/2020,16.9,11.4,21.9,,,296,9,22.2,1018.7
03/06/2020,15,9.5,18.9,,,185,7.5,20.4,1008.8
04/06/2020,14.9,11,18.4,,,127,11.9,31.5,1000.2
05/06/2020,11.6,9.9,13.9,,,133,13,33.3,991.4
06/06/2020,10.7,7.5,14.2,,,165,14.1,42.6,992.1
07/06/2020,12.4,9.9,14.7,,,197,19,35.2,1003.4
08/06/2020,12.9,9.3,16.2,,,219,8.6,20.4,1011.3
09/06/2020,12.9,8.7,16.3,,,313,7.9,20.4,1017.9
10/06/2020,14.3,8.5,19.2,,,2,11.3,27.8,1019.4
11/06/2020,17.1,12.5,21.9,,,28,21.9,48.2,1019.8
12/06/2020,18,13.8,22,,,41,22.5,50,1018.7
13/06/2020,18.8,15.2,22.9,,,60,15,31.5,1019.8
14/06/2020,18.3,12.5,24.1,,,52,11.5,25.9,1020.6
15/06/2020,18.7,12.4,24.1,,,16,8.6,24.1,1017.2
16/06/2020,19.1,13.4,23.6,,,12,14.3,37,1013.8
17/06/2020,18.7,16,21.8,,,7,12.1,27.8,1013.3
18/06/2020,19.1,14.1,23.6,,,9,8.4,20.4,1013.8
19/06/2020,20.6,16.6,25.1,,,54,10.3,25.9,1013
20/06/2020,19.3,16.6,21.8,,,33,10.1,25.9,1015
21/06/2020,18,16.6,19.3,,,9,7.4,22.2,1017.2
22/06/2020,15.7,13.7,17.6,,,269,9.3,27.8,1018.4
23/06/2020,17.8,13.3,21.8,,,280,10.3,25.9,1022.6
24/06/2020,18.5,12.3,24.2,,,226,7.3,18.5,1026.8
25/06/2020,20.2,13.5,26.2,,,317,5.6,18.5,1026.2
26/06/2020,21,14.9,26,,,121,7,18.5,1019.8
27/06/2020,21.8,16.6,26.1,,,125,6.9,18.5,1011.3
28/06/2020,18.6,15.7,20.4,,,187,11.8,25.9,1008
29/06/2020,16.1,12.8,18.8,,,200,15.3,35.2,1007.3
30/06/2020,14.8,13.7,16.2,,,199,20.9,53.7,996.2
01/07/2020,15.7,13,18.1,,,231,21.2,46.3,997.5
02/07/2020,14.7,13.1,16.5,,,231,21.4,50,1003.2
03/07/2020,13.3,11.1,15,,,227,18.5,35.2,1008.8
04/07/2020,14.9,13.1,16.2,,,216,16,35.2,1003
05/07/2020,14.8,13.7,16.3,,,203,21.4,63,996.8
06/07/2020,13.9,12.1,15.2,,,227,29.3,63,994.9
07/07/2020,13,11.1,14.6,,,249,22.5,48.2,1006.4
08/07/2020,13,9.7,15.6,,,265,15.4,38.9,1007.4
09/07/2020,13.4,9.8,16,,,216,11.1,25.9,1010.4
10/07/2020,12.7,9.4,15.8,,,211,6.8,20.4,1008.4
11/07/2020,13.6,10,16.4,,,250,17.1,40.8,1012.4
12/07/2020,13.7,10.8,16,,,257,19.2,40.8,1019.1
13/07/2020,14.5,12.5,16.7,,,248,14.1,29.6,1019.1
14/07/2020,13.7,12.8,14.7,,,183,14.8,31.5,1012.6
